outcome,formula,sample,decade,n_obs,p1,p5,p50,p95,p99,mean,sd
excess_min,"airborne_min_mean(cell) - baseline_med(cell). baseline_med = median of airborne_min_mean for the SAME (origin, dest, nation) directed route in the SAME calendar month, at year-1/year-2/year-3 (trailing 3 years = trailing 36 months), among cells passing cell_ok (FIX-04 G6 nation-year coverage >= 0.50 AND departures_performed >= 4) with an implied speed (distance / airborne hours) >= 50 mph, or distance == 0 (exempt from the speed test); a candidate month inside the COVID window 2020-03..2021-12 is never counted; requires >= 2 surviving candidates, else NaN (G8).",US carriers' airborne time on US-touching international segments,1990,57648,-23.966272442291245,-13.566666666666663,-0.09814450413682607,12.586142009640325,24.532369465070104,-0.10911895578463132,11.508132021806587
excess_min,"airborne_min_mean(cell) - baseline_med(cell). baseline_med = median of airborne_min_mean for the SAME (origin, dest, nation) directed route in the SAME calendar month, at year-1/year-2/year-3 (trailing 3 years = trailing 36 months), among cells passing cell_ok (FIX-04 G6 nation-year coverage >= 0.50 AND departures_performed >= 4) with an implied speed (distance / airborne hours) >= 50 mph, or distance == 0 (exempt from the speed test); a candidate month inside the COVID window 2020-03..2021-12 is never counted; requires >= 2 surviving candidates, else NaN (G8).",US carriers' airborne time on US-touching international segments,2000,118167,-19.290322580645142,-10.06633879781417,0.44444444444444287,12.23495726495725,22.16129032258067,0.8306947445391409,9.858793206521726
excess_min,"airborne_min_mean(cell) - baseline_med(cell). baseline_med = median of airborne_min_mean for the SAME (origin, dest, nation) directed route in the SAME calendar month, at year-1/year-2/year-3 (trailing 3 years = trailing 36 months), among cells passing cell_ok (FIX-04 G6 nation-year coverage >= 0.50 AND departures_performed >= 4) with an implied speed (distance / airborne hours) >= 50 mph, or distance == 0 (exempt from the speed test); a candidate month inside the COVID window 2020-03..2021-12 is never counted; requires >= 2 surviving candidates, else NaN (G8).",US carriers' airborne time on US-touching international segments,2010,159687,-21.44467605331464,-11.566666666666663,-0.2641472868216965,10.064447004608251,20.14636125276279,-0.41330112383389656,7.499260322669777
excess_min,"airborne_min_mean(cell) - baseline_med(cell). baseline_med = median of airborne_min_mean for the SAME (origin, dest, nation) directed route in the SAME calendar month, at year-1/year-2/year-3 (trailing 3 years = trailing 36 months), among cells passing cell_ok (FIX-04 G6 nation-year coverage >= 0.50 AND departures_performed >= 4) with an implied speed (distance / airborne hours) >= 50 mph, or distance == 0 (exempt from the speed test); a candidate month inside the COVID window 2020-03..2021-12 is never counted; requires >= 2 surviving candidates, else NaN (G8).",US carriers' airborne time on US-touching international segments,2020,57646,-20.908910759548046,-10.342108294930895,0.06252240143369647,9.563945538439405,18.327424395161305,-0.061045370024679815,6.707667295444389
excess_min,"airborne_min_mean(cell) - baseline_med(cell). baseline_med = median of airborne_min_mean for the SAME (origin, dest, nation) directed route in the SAME calendar month, at year-1/year-2/year-3 (trailing 3 years = trailing 36 months), among cells passing cell_ok (FIX-04 G6 nation-year coverage >= 0.50 AND departures_performed >= 4) with an implied speed (distance / airborne hours) >= 50 mph, or distance == 0 (exempt from the speed test); a candidate month inside the COVID window 2020-03..2021-12 is never counted; requires >= 2 surviving candidates, else NaN (G8).",US carriers' airborne time on US-touching international segments,all,393148,-21.23185531061448,-11.285714285714258,0.011360026603931317,11.062427002224693,21.25327598516099,0.05685486980164754,8.85146714252393
excess_min_w,"excess_min, winsorized (clipped) at the 1st/99th percentile computed within each (origin, dest, nation) directed-route group, using ALL non-null excess_min for that route across the full 1990-2025 sample (not separately by year) -- a 2022 cell's clip boundary can therefore depend on that same route's 2025 data. See excess_winsorization_cutoffs.csv for the per-route n/p1/p99/n_clipped actually applied, and excess_speed_screen_sensitivity.csv for how much the pooled mean/p1/p99 move if the implied-speed screen is tightened beyond the shipped 50 mph (winsorization alone does not remove the measurement contamination just above 50 mph: cells implying < 150 mph are 0.30% of the sample but a majority of sum(excess_min_w) -- see that CSV).",US carriers' airborne time on US-touching international segments,1990,57648,-23.21291903858321,-13.433333333333318,-0.09814450413682607,12.335873087308782,23.721290322580632,-0.11103820259136196,11.244032518298724
excess_min_w,"excess_min, winsorized (clipped) at the 1st/99th percentile computed within each (origin, dest, nation) directed-route group, using ALL non-null excess_min for that route across the full 1990-2025 sample (not separately by year) -- a 2022 cell's clip boundary can therefore depend on that same route's 2025 data. See excess_winsorization_cutoffs.csv for the per-route n/p1/p99/n_clipped actually applied, and excess_speed_screen_sensitivity.csv for how much the pooled mean/p1/p99 move if the implied-speed screen is tightened beyond the shipped 50 mph (winsorization alone does not remove the measurement contamination just above 50 mph: cells implying < 150 mph are 0.30% of the sample but a majority of sum(excess_min_w) -- see that CSV).",US carriers' airborne time on US-touching international segments,2000,118167,-18.89386396121254,-9.94691138301821,0.44444444444444287,12.046930082705183,21.34301087801089,0.7517513635012051,8.554185195424724
excess_min_w,"excess_min, winsorized (clipped) at the 1st/99th percentile computed within each (origin, dest, nation) directed-route group, using ALL non-null excess_min for that route across the full 1990-2025 sample (not separately by year) -- a 2022 cell's clip boundary can therefore depend on that same route's 2025 data. See excess_winsorization_cutoffs.csv for the per-route n/p1/p99/n_clipped actually applied, and excess_speed_screen_sensitivity.csv for how much the pooled mean/p1/p99 move if the implied-speed screen is tightened beyond the shipped 50 mph (winsorization alone does not remove the measurement contamination just above 50 mph: cells implying < 150 mph are 0.30% of the sample but a majority of sum(excess_min_w) -- see that CSV).",US carriers' airborne time on US-touching international segments,2010,159687,-21.040937334217485,-11.46141025641025,-0.2641472868216965,9.991850696991934,19.645172043010742,-0.4117067630255539,7.082854629208076
excess_min_w,"excess_min, winsorized (clipped) at the 1st/99th percentile computed within each (origin, dest, nation) directed-route group, using ALL non-null excess_min for that route across the full 1990-2025 sample (not separately by year) -- a 2022 cell's clip boundary can therefore depend on that same route's 2025 data. See excess_winsorization_cutoffs.csv for the per-route n/p1/p99/n_clipped actually applied, and excess_speed_screen_sensitivity.csv for how much the pooled mean/p1/p99 move if the implied-speed screen is tightened beyond the shipped 50 mph (winsorization alone does not remove the measurement contamination just above 50 mph: cells implying < 150 mph are 0.30% of the sample but a majority of sum(excess_min_w) -- see that CSV).",US carriers' airborne time on US-touching international segments,2020,57646,-20.47549816392432,-10.24433054174429,0.06252240143369647,9.448268241750437,17.78332350485622,-0.05251513177338105,6.412499924449929
excess_min_w,"excess_min, winsorized (clipped) at the 1st/99th percentile computed within each (origin, dest, nation) directed-route group, using ALL non-null excess_min for that route across the full 1990-2025 sample (not separately by year) -- a 2022 cell's clip boundary can therefore depend on that same route's 2025 data. See excess_winsorization_cutoffs.csv for the per-route n/p1/p99/n_clipped actually applied, and excess_speed_screen_sensitivity.csv for how much the pooled mean/p1/p99 move if the implied-speed screen is tightened beyond the shipped 50 mph (winsorization alone does not remove the measurement contamination just above 50 mph: cells implying < 150 mph are 0.30% of the sample but a majority of sum(excess_min_w) -- see that CSV).",US carriers' airborne time on US-touching international segments,all,393148,-20.799264907135775,-11.178546073601854,0.011485832175452515,10.904301075268828,20.647468982630233,0.03474408597879193,8.196160290271855
